Date,Close,High,Low,Open,Volume,MA_7,MA_30,Daily_Return,RSI_14
2018-01-30,10106.2998046875,11307.2001953125,10036.2001953125,11306.7998046875,8637859840,11202.843052455357,13181.0400390625,-0.10535219581320587,40.13709060034266
2018-01-31,10221.099609375,10381.599609375,9777.419921875,10108.2001953125,8041160192,11040.22865513393,13066.503352864584,0.011359232053877344,42.91738001396049
2018-02-01,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,10741.820033482143,12872.784700520833,-0.1027834196380305,34.82847246163277
2018-02-02,8830.75,9142.2802734375,7796.490234375,9142.2802734375,12726899712,10407.44140625,12660.443033854166,-0.037052347802326024,32.204719855879816
2018-02-03,9174.91015625,9430.75,8251.6298828125,8852.1201171875,7263790080,10083.757114955357,12446.300032552082,0.03897292486481896,22.83130096794119
2018-02-04,8277.009765625,9334.8701171875,8031.22021484375,9175.7001953125,7073549824,9582.429966517857,12141.217024739582,-0.09786476110758924,24.250825857684305
2018-02-05,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984,8962.268484933036,11788.826025390625,-0.15968807377551097,22.022130618488745
2018-02-06,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320,8626.225655691964,11498.039371744791,0.11483809805022926,30.14175237992289
2018-02-07,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000,8254.82568359375,11246.412711588542,-0.01711377293171268,25.02364646807635
2018-02-08,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464,8125.547084263393,11035.419026692709,0.08453807822469184,31.35294494765415
2018-02-09,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224,8112.151436941965,10827.541715494792,0.057030488314931294,35.528287299065596
2018-02-10,8621.900390625,9122.5498046875,8295.4697265625,8720.080078125,7780960256,8033.150041852678,10668.078401692708,-0.013171607575021227,32.930310723885384
2018-02-11,8129.97021484375,8616.1298828125,7931.10009765625,8616.1298828125,6122189824,8012.144391741072,10473.057421875,-0.05705588715872301,28.24408673610239
2018-02-12,8926.5703125,8985.919921875,8141.43017578125,8141.43017578125,6256439808,8293.758719308036,10291.93642578125,0.09798315081177211,36.39556685054031
